feature,importance,std,rank
Feature_0,0.035964912280701755,0.008791481762407547,1
Feature_1,0.029346092503987252,0.00584154595592104,2
Feature_27,0.020972886762360466,0.011783898859372161,3
Feature_50,0.019298245614035016,0.004585153592173883,4
Feature_2,0.018500797448165886,0.021291418019407198,5
Feature_9,0.017623604465709763,0.015851777260416155,6
Feature_18,0.01746411483253585,0.004069330405796778,7
Feature_20,0.016586921850079706,0.008036441905801673,8
Feature_12,0.016267942583732032,0.006148113322933439,9
Feature_73,0.01594896331738436,0.006488308008551205,10
Feature_13,0.015869218500797432,0.009100697044776448,11
Feature_23,0.01586921850079741,0.007098632562764841,12
Feature_3,0.01562998405103664,0.005114870083197629,13
Feature_85,0.01539074960127591,0.009335935169956724,14
Feature_26,0.013078149920255178,0.007737302214735066,15
Feature_71,0.012679425837320535,0.012787548187733125,16
Feature_25,0.012280701754385937,0.006768451411139695,17
Feature_43,0.012121212121212066,0.01294374079089215,18
Feature_29,0.011881977671451317,0.005304079473147018,19
Feature_7,0.011164274322169066,0.011246563898127384,20
Feature_28,0.010765550239234445,0.005930141130008953,21
Feature_91,0.010606060606060596,0.00567590419434586,22
Feature_51,0.009489633173843704,0.006582691892659914,23
Feature_60,0.009330143540669855,0.004557330801349123,24
Feature_11,0.008532695374800637,0.0060658501613194814,25
Feature_70,0.007894736842105265,0.004464285487170172,26
Feature_61,0.007735247208931373,0.00570384521283817,27
Feature_30,0.007575757575757592,0.004503994018004118,28
Feature_72,0.007017543859649122,0.0017214539987976895,29
Feature_19,0.006937799043062154,0.005759320601361309,30
